Flight #,Airline,Origin / Destination,Date of Arrival,Close contact rows
SQ919,Singapore Airlines,Manila - Singapore,8/03/20,**
SQ279,Singapore Airlines,Singapore - Adelaide,9/03/20,"44, 45, 46, 47, 48"
QF56,Qantas,Los Angeles - Brisbane,09/03/20,"1, 2, 3, 4"
EY84,Etihad Airways,Rome – Abu Dhabi,9/03/20,"29, 30, 31, 32, 33, 34, 35,36"
EY450,Etihad Airways,Abu Dhabi - Sydney,10/03/20,"30, 31, 32, 33, 34, 35, 36"
AA3193,American Airlines,Aspen – Los Angeles,9/03/02,"2, 3, 4, 5, 6"
QF12,Qantas,Los Angeles - Sydney,11/03/20,"1, 2, 3, 4, 5"
QF663,Qantas,Brisbane - Adelaide,10/03/20,"13, 14, 15, 16, 17"
VA418,Virgin Australia,Sydney - Adelaide,10/03/20,"7, 8, 9, 10, 11, 12"
QF741,Qantas,Sydney - Adelaide,11/03/20,"1, 2, 3, 4"
QF20,Qantas,Manila - Sydney,13/03/2020,"46, 47, 48, 49, 50"
QF739,Qantas,Sydney - Adelaide,13/03/2020,"16, 17, 18, 19, 20"
JQ452,Jetstar,Adelaide - Gold Coast,12/03/03/20,"18, 19, 20, 21, 22"
JQ453,Jetstar,Gold Coast - Adelaide,15/03/2020,"12, 13, 14, 15, 16"
QF50,Qantas,San Francisco - Melbourne,13/03/2020,"2, 3, 4, 5, 6"
QF679,Qantas,Melbourne - Adelaide,13/03/2020,"1, 2, 3, 4"
VA1446,Virgin Australia,Gold Coast - Adelaide,09/03/2020,"26, 27, 28, 29, 30"
NZ191,Air New Zealand,Auckland - Adelaide,13/03/2020,"3, 4, 5, 6, 7"
